 discipline     precision      recall     f1-score      support
                                   agriculture, forestry, and fisheries       0.50      0.80      0.62        10
                                               animal and dairy science       0.70      0.54      0.61        13
                                                            archaeology       1.00      0.42      0.59        12
                    art (arts, history of arts, performing arts, music)       0.00      0.00      0.00        14
                                                         basic medicine       0.55      0.35      0.43        17
                                                    biological sciences       0.63      0.39      0.48        31
                                                   chemical engineering       0.29      0.73      0.41        11
                                                      chemical sciences       0.57      0.43      0.49        30
                                                      civil engineering       0.67      0.62      0.65        16
                                                      clinical medicine       0.48      0.70      0.57        20
                                      computer and information sciences       0.20      0.23      0.21        13
                               earth and related environmental sciences       0.38      0.29      0.33        17
                                                 economics and business       0.43      0.35      0.39        17
                                                   educational sciences       0.43      0.33      0.38         9
electrical engineering, electronic engineering, information engineering       0.50      0.60      0.55        10
                                            environmental biotechnology       1.00      0.07      0.13        14
                                              environmental engineering       0.50      0.11      0.18        18
                                                   health biotechnology       0.22      0.80      0.35        10
                                                        health sciences       0.23      0.30      0.26        10
                                                                history       0.30      0.21      0.25        14
                                               industrial biotechnology       0.00      0.00      0.00        12
                                              languages and linguistics       1.00      0.23      0.38        13
                                                                    law       0.67      0.36      0.47        11
                                                             literature       0.57      0.33      0.42        12
                                                  materials engineering       0.45      0.64      0.53        22
                                                            mathematics       0.36      0.36      0.36        14
                                                 mechanical engineering       0.44      0.58      0.50        12
                                               media and communications       0.50      0.50      0.50        14
                                                    medical engineering       0.44      0.36      0.40        11
                                                        nano-technology       0.50      0.27      0.35        11
                                            other agricultural sciences       0.00      0.00      0.00        12
                                     other engineering and technologies       0.17      0.07      0.10        14
                                                       other humanities       0.00      0.00      0.00        19
                                                  other social sciences       0.00      0.00      0.00        11
                                                  philosophy and ethics       0.38      0.60      0.46        10
                                                      physical sciences       0.21      0.24      0.22        17
                                                      political science       0.43      0.30      0.35        10
                                                             psychology       0.31      0.60      0.41        15
                                                               religion       0.75      0.69      0.72        13
                                          social and economic geography       0.43      0.23      0.30        13
                                                              sociology       0.55      0.60      0.57        30
                                                     veterinary science       0.33      0.22      0.27         9

                                                              micro avg       0.43      0.37      0.40       611
                                                              macro avg       0.43      0.37      0.36       611
                                                           weighted avg       0.44      0.37      0.37       611
                                                            samples avg       0.47      0.40      0.38       611
