 discipline     precision      recall     f1-score      support
                                   agriculture, forestry, and fisheries       0.43      0.60      0.50        10
                                               animal and dairy science       0.50      0.43      0.46        14
                                                            archaeology       1.00      0.08      0.15        12
                    art (arts, history of arts, performing arts, music)       1.00      0.21      0.35        14
                                                         basic medicine       0.56      0.29      0.38        17
                                                    biological sciences       0.67      0.38      0.48        32
                                                   chemical engineering       0.24      0.45      0.31        11
                                                      chemical sciences       0.53      0.33      0.41        30
                                                      civil engineering       0.80      0.25      0.38        16
                                                      clinical medicine       0.52      0.55      0.54        20
                                      computer and information sciences       0.31      0.31      0.31        13
                               earth and related environmental sciences       0.40      0.12      0.18        17
                                                 economics and business       0.30      0.41      0.35        17
                                                   educational sciences       0.40      0.44      0.42         9
electrical engineering, electronic engineering, information engineering       0.38      0.30      0.33        10
                                            environmental biotechnology       0.25      0.07      0.11        14
                                              environmental engineering       0.43      0.17      0.24        18
                                                   health biotechnology       0.38      0.80      0.52        10
                                                        health sciences       0.11      0.20      0.14        10
                                                                history       0.40      0.29      0.33        14
                                               industrial biotechnology       0.00      0.00      0.00        12
                                              languages and linguistics       1.00      0.23      0.38        13
                                                                    law       0.50      0.27      0.35        11
                                                             literature       0.40      0.17      0.24        12
                                                  materials engineering       0.52      0.64      0.57        22
                                                            mathematics       0.57      0.29      0.38        14
                                                 mechanical engineering       0.45      0.42      0.43        12
                                               media and communications       0.40      0.29      0.33        14
                                                    medical engineering       0.30      0.55      0.39        11
                                                        nano-technology       0.80      0.36      0.50        11
                                                  philosophy and ethics       0.42      0.50      0.45        10
                                                      physical sciences       0.27      0.24      0.25        17
                                                      political science       0.50      0.30      0.38        10
                                                             psychology       0.29      0.27      0.28        15
                                                               religion       0.78      0.54      0.64        13
                                          social and economic geography       0.00      0.00      0.00        13
                                                              sociology       0.61      0.37      0.46        30
                                                     veterinary science       0.00      0.00      0.00        10

                                                              micro avg       0.43      0.32      0.37       558
                                                              macro avg       0.46      0.32      0.34       558
                                                           weighted avg       0.48      0.32      0.35       558
                                                            samples avg       0.43      0.34      0.34       558
