 discipline     precision      recall     f1-score      support
                                  
                                   agriculture, forestry, and fisheries       0.41      0.70      0.52        10
                                               animal and dairy science       0.90      0.64      0.75        14
                                                            archaeology       0.88      0.58      0.70        12
                    art (arts, history of arts, performing arts, music)       0.33      0.07      0.12        14
                                                         basic medicine       0.42      0.47      0.44        17
                                                    biological sciences       0.74      0.62      0.68        32
                                                   chemical engineering       0.24      0.73      0.36        11
                                                      chemical sciences       0.45      0.43      0.44        30
                                                      civil engineering       0.67      0.50      0.57        16
                                                      clinical medicine       0.40      0.30      0.34        20
                                      computer and information sciences       0.53      0.62      0.57        13
                               earth and related environmental sciences       0.21      0.29      0.24        17
                                                 economics and business       0.58      0.44      0.50        16
                                                   educational sciences       0.27      0.60      0.38        10
electrical engineering, electronic engineering, information engineering       0.41      0.70      0.52        10
                                            environmental biotechnology       0.00      0.00      0.00        14
                                              environmental engineering       0.25      0.11      0.15        18
                                                   health biotechnology       0.25      0.80      0.38        10
                                                        health sciences       0.22      0.60      0.32        10
                                                                history       0.24      0.50      0.33        14
                                               industrial biotechnology       0.24      0.42      0.30        12
                                              languages and linguistics       0.89      0.62      0.73        13
                                                                    law       0.43      0.55      0.48        11
                                                             literature       0.43      0.50      0.46        12
                                                  materials engineering       0.49      0.82      0.61        22
                                                            mathematics       0.60      0.64      0.62        14
                                                 mechanical engineering       0.35      0.50      0.41        12
                                               media and communications       0.28      0.50      0.36        14
                                                    medical engineering       0.27      0.36      0.31        11
                                                        nano-technology       0.67      0.73      0.70        11
                                                  philosophy and ethics       0.31      0.90      0.46        10
                                                      physical sciences       0.22      0.35      0.27        17
                                                      political science       0.42      0.50      0.45        10
                                                             psychology       0.35      0.47      0.40        15
                                                               religion       0.71      0.77      0.74        13
                                          social and economic geography       0.18      0.25      0.21        12
                                                              sociology       0.59      0.43      0.50        30
                                                     veterinary science       0.60      0.30      0.40        10

                                                              micro avg       0.40      0.50      0.44       557
                                                              macro avg       0.43      0.51      0.44       557
                                                           weighted avg       0.45      0.50      0.45       557
                                                            samples avg       0.43      0.51      0.43       557
