 discipline     precision      recall     f1-score      support
                                   agriculture, forestry, and fisheries       0.29      1.00      0.44        10
                                               animal and dairy science       0.82      0.64      0.72        14
                                                            archaeology       0.56      0.75      0.64        12
                    art (arts, history of arts, performing arts, music)       0.60      0.43      0.50        14
                                                         basic medicine       0.00      0.00      0.00        17
                                                    biological sciences       0.65      0.53      0.59        32
                                                   chemical engineering       0.28      0.82      0.42        11
                                                      chemical sciences       0.25      0.03      0.06        30
                                                      civil engineering       0.89      0.50      0.64        16
                                                      clinical medicine       0.75      0.45      0.56        20
                                      computer and information sciences       0.43      0.46      0.44        13
                               earth and related environmental sciences       0.41      0.71      0.52        17
                                                 economics and business       0.27      0.59      0.37        17
                                                   educational sciences       0.32      0.70      0.44        10
electrical engineering, electronic engineering, information engineering       0.43      0.60      0.50        10
                                            environmental biotechnology       0.50      0.14      0.22        14
                                              environmental engineering       0.25      0.28      0.26        18
                                                   health biotechnology       0.83      0.50      0.62        10
                                                        health sciences       0.23      0.30      0.26        10
                                                                history       0.25      0.86      0.39        14
                                               industrial biotechnology       0.19      0.25      0.21        12
                                              languages and linguistics       0.88      0.54      0.67        13
                                                                    law       0.40      0.36      0.38        11
                                                             literature       0.67      0.33      0.44        12
                                                  materials engineering       0.44      0.86      0.58        22
                                                            mathematics       0.62      0.57      0.59        14
                                                 mechanical engineering       0.40      0.67      0.50        12
                                               media and communications       0.54      0.50      0.52        14
                                                    medical engineering       0.37      0.91      0.53        11
                                                        nano-technology       1.00      0.64      0.78        11
                                                  philosophy and ethics       0.50      0.70      0.58        10
                                                      physical sciences       0.13      0.18      0.15        17
                                                      political science       0.29      0.40      0.33        10
                                                             psychology       0.53      0.53      0.53        15
                                                               religion       0.90      0.69      0.78        13
                                          social and economic geography       0.29      0.38      0.33        13
                                                              sociology       0.31      0.33      0.32        30
                                                     veterinary science       0.58      0.70      0.64        10

                                                              micro avg       0.42      0.49      0.45       559
                                                              macro avg       0.47      0.52      0.46       559
                                                           weighted avg       0.47      0.49      0.44       559
                                                            samples avg       0.44      0.52      0.44       559
